"Código INE" "Municipio" "ADN" "ADN%" "CONDEPA" "CONDEPA%" "LJ" "LJ%" "MAS" "MAS%" "MCC" "MCC%" "MIP" "MIP%" "MIR" "MIR%" "MNR" "MNR%" "NFR" "NFR%" "PS" "PS%" "UCS" "UCS%" "Válidos" "Blancos" "Nulos" "Emitidos"
"020801" "Viacha" "352" "1,49" "124" "0,53" "980" "4,15" "3974" "16,83" "105" "0,44" "9356" "39,62" "2454" "10,39" "1571" "6,65" "3578" "15,15" "170" "0,72" "949" "4,02" "23613" "1360" "814" "25787"
"020802" "Guaqui" "42" "2,09" "9" "0,45" "58" "2,88" "503" "24,98" "6" "0,30" "809" "40,17" "87" "4,32" "116" "5,76" "287" "14,25" "14" "0,70" "83" "4,12" "2014" "268" "101" "2383"
"020803" "Tiahuanacu" "31" "0,68" "36" "0,79" "80" "1,76" "753" "16,57" "18" "0,40" "2735" "60,18" "245" "5,39" "306" "6,73" "175" "3,85" "37" "0,81" "129" "2,84" "4545" "402" "251" "5198"
"020804" "Desaguadero" "130" "7,13" "8" "0,44" "58" "3,18" "246" "13,49" "11" "0,60" "505" "27,70" "87" "4,77" "257" "14,10" "454" "24,90" "8" "0,44" "59" "3,24" "1823" "193" "61" "2077"
"020901" "Luribay" "25" "0,81" "7" "0,23" "42" "1,36" "1020" "33,10" "8" "0,26" "904" "29,33" "401" "13,01" "267" "8,66" "302" "9,80" "23" "0,75" "83" "2,69" "3082" "300" "139" "3521"
"020902" "Sapahaqui" "26" "0,79" "23" "0,70" "68" "2,06" "792" "23,96" "15" "0,45" "1535" "46,43" "224" "6,78" "310" "9,38" "190" "5,75" "59" "1,78" "64" "1,94" "3306" "346" "120" "3772"
"020903" "Yaco" "23" "0,96" "15" "0,63" "35" "1,46" "453" "18,95" "7" "0,29" "1098" "45,92" "247" "10,33" "260" "10,87" "189" "7,90" "20" "0,84" "44" "1,84" "2391" "274" "81" "2746"
"020904" "Malla" "21" "2,16" "3" "0,31" "10" "1,03" "164" "16,84" "8" "0,82" "285" "29,26" "135" "13,86" "161" "16,53" "172" "17,66" "8" "0,82" "7" "0,72" "974" "68" "33" "1075"
"020905" "Cairoma" "39" "1,33" "24" "0,82" "77" "2,64" "756" "25,87" "11" "0,38" "797" "27,28" "449" "15,37" "409" "14,00" "200" "6,84" "31" "1,06" "129" "4,41" "2922" "232" "119" "3273"
"021001" "Inquisivi" "57" "1,69" "16" "0,47" "19" "0,56" "1482" "43,87" "44" "1,30" "534" "15,81" "305" "9,03" "410" "12,14" "247" "7,31" "28" "0,83" "236" "6,99" "3378" "401" "187" "3966"
"021002" "Quime" "32" "1,67" "15" "0,78" "31" "1,62" "799" "41,81" "33" "1,73" "183" "9,58" "163" "8,53" "282" "14,76" "296" "15,49" "15" "0,78" "62" "3,24" "1911" "188" "115" "2214"
"021003" "Cajuata" "17" "0,77" "6" "0,27" "19" "0,86" "1309" "59,31" "14" "0,63" "57" "2,58" "331" "15,00" "223" "10,10" "165" "7,48" "8" "0,36" "58" "2,63" "2207" "177" "81" "2465"
"021004" "Colquiri" "63" "1,41" "37" "0,83" "47" "1,05" "1938" "43,48" "23" "0,52" "643" "14,43" "522" "11,71" "507" "11,38" "503" "11,29" "22" "0,49" "152" "3,41" "4457" "334" "216" "5007"
"021005" "Ichoca" "31" "1,65" "16" "0,85" "8" "0,42" "559" "29,69" "12" "0,64" "719" "38,18" "208" "11,05" "130" "6,90" "154" "8,18" "9" "0,48" "37" "1,96" "1883" "144" "78" "2105"
"021006" "Licoma Pampa" "5" "0,90" "1" "0,18" "6" "1,08" "293" "52,79" "7" "1,26" "28" "5,05" "55" "9,91" "90" "16,22" "57" "10,27" "1" "0,18" "12" "2,16" "555" "52" "21" "628"
"021101" "Chulumani (Villa de la Libertad)" "33" "0,82" "31" "0,77" "57" "1,41" "1345" "33,37" "7" "0,17" "698" "17,32" "891" "22,11" "439" "10,89" "374" "9,28" "20" "0,50" "135" "3,35" "4030" "249" "130" "4409"
"021102" "Irupana (Villa de Lanza)" "69" "2,04" "23" "0,68" "29" "0,86" "1505" "44,45" "22" "0,65" "434" "12,82" "396" "11,70" "471" "13,91" "346" "10,22" "15" "0,44" "76" "2,24" "3386" "214" "152" "3752"
